site,visit,lat,long,date,num_sponges
1,1,30.554639,-91.821167,2019-05-25 00:00:00,0.0
2,1,30.726389,-91.968889,2019-05-25 00:00:00,2.0
3,1,30.546861,-91.967917,2019-05-25 00:00:00,0.0
4,1,30.730194,-92.119972,2019-05-25 00:00:00,0.0
5,1,30.790528,-92.270083,2019-05-25 00:00:00,2.0
5,2,30.790528,-92.270083,2023-06-23 00:00:00,8.0
6,1,30.495,-92.427778,2019-05-25 00:00:00,0.0
7,1,30.233889,-93.221111,2019-05-25 00:00:00,3.0
7,2,30.2338889,-93.221111,2024-05-17 00:00:00,0.0
8,1,30.715556,-93.384944,2019-05-25 00:00:00,0.0
9,1,30.745,-93.347778,2019-05-25 00:00:00,1.0
10,1,30.765,-93.124444,2019-05-25 00:00:00,2.0
11,1,30.818889,-93.229722,2019-05-25 00:00:00,0.0
12,1,31.043889,-93.276111,2019-05-25 00:00:00,3.0
13,1,31.158611,-93.354167,2019-05-25 00:00:00,0.0
14,1,31.093611,-93.388889,2019-05-25 00:00:00,0.0
14,2,31.093611,-93.388889,2023-06-23 00:00:00,8.0
15,1,31.096667,-93.389167,2019-05-25 00:00:00,7.0
15,2,31.096667,-93.389167,2021-05-17 00:00:00,0.0
15,3,31.096667,-93.389167,2023-06-23 00:00:00,3.0
16,1,31.177222,-93.351944,2019-05-25 00:00:00,0.0
16,2,31.177222,-93.351944,2023-10-20 00:00:00,2.0
17,1,31.956389,-93.046667,2019-05-25 00:00:00,5.0
17,2,31.956389,-93.046667,2021-05-18 00:00:00,0.0
17,3,31.956389,-93.046667,2023-10-21 00:00:00,16.0
18,1,32.011944,-93.267778,2019-05-25 00:00:00,0.0
18,2,32.011944,-93.267778,2023-06-24 00:00:00,7.0
18,3,32.011944,-93.267778,2023-10-21 00:00:00,10.0
19,1,31.862222,-93.3675,2019-05-25 00:00:00,0.0
20,1,32.14075,-93.593889,2019-05-25 00:00:00,5.0
20,2,32.14075,-93.593889,2021-05-18 00:00:00,23.0
20,3,32.14075,-93.593889,2023-06-24 00:00:00,18.0
21,1,32.32,93.67,2019-05-25 00:00:00,17.0
21,2,32.32,93.67,2021-08-05 00:00:00,13.0
21,3,32.32,93.67,2021-11-05 00:00:00,19.0
21,4,32.32,93.67,2023-06-24 00:00:00,12.0
21,5,32.32,93.67,2024-09-25 00:00:00,24.0
22,1,32.439167,-93.378333,2019-05-25 00:00:00,13.0
22,2,32.439167,-93.378333,2021-05-19 00:00:00,26.0
22,3,32.439167,-93.378333,2023-10-22 00:00:00,11.0
23,1,32.733056,-92.922222,2019-05-25 00:00:00,2.0
23,2,32.733056,-92.922222,2021-05-19 00:00:00,0.0
24,1,32.453611,-92.193056,2019-05-25 00:00:00,3.0
24,2,32.453611,-92.193056,2024-05-19 00:00:00,11.0
25,1,32.427222,-92.360833,2019-05-25 00:00:00,3.0
26,1,31.878611,-92.895833,2019-05-25 00:00:00,13.0
26,2,31.878611,-92.895833,2021-05-18 00:00:00,16.0
26,3,31.878611,-92.895833,2022-05-13 00:00:00,0.0
27,1,31.551972,-92.656417,2019-05-25 00:00:00,0.0
28,1,31.552222,-92.658056,2019-05-25 00:00:00,4.0
29,1,31.552222,-92.658056,2019-05-25 00:00:00,0.0
30,1,30.289472,-90.399972,2019-05-25 00:00:00,4.0
31,1,30.293306,-90.404167,2019-06-01 00:00:00,6.0
32,1,30.149444,-90.446722,2019-06-01 00:00:00,0.0
33,1,30.12675,-91.278472,2019-06-01 00:00:00,7.0
34,1,30.332528,-90.852472,2019-06-01 00:00:00,0.0
35,1,30.271944,-90.751222,2019-06-01 00:00:00,5.0
36,1,30.309722,-90.609417,2019-06-01 00:00:00,3.0
36,2,30.309722,-90.609417,"Friday, Febuary 7, 2025",0.0
37,1,30.374917,-90.549444,2019-06-01 00:00:00,1.0
38,1,30.265278,-89.956556,2019-06-01 00:00:00,2.0
39,1,30.317861,-89.933806,2019-06-01 00:00:00,2.0
40,1,30.218194,-89.823778,2019-06-01 00:00:00,0.0
41,1,30.031444,-90.074083,2019-06-01 00:00:00,3.0
42,1,30.028139,-90.097444,2019-06-01 00:00:00,4.0
43,1,30.02925,-90.120222,2019-06-01 00:00:00,4.0
45,1,31.120389,-92.022194,2019-06-01 00:00:00,2.0
46,1,31.120528,-92.011583,2019-06-01 00:00:00,9.0
47,1,31.002167,-92.382972,2019-06-01 00:00:00,0.0
47,2A,31.002167,-92.382972,2023-06-23 00:00:00,1.0
47,2B,31.002167,-92.382972,2023-06-23 00:00:00,9.0
48,1,31.106056,-92.483806,2019-06-01 00:00:00,1.0
49,1,29.957389,-93.436472,2019-06-01 00:00:00,0.0
